"module","module_class","group","n","mean_module_score","sd_module_score","median_module_score","min_module_score","max_module_score","detected_genes","total_module_genes","coverage_pct"
"HALLMARK_INFLAMMATORY_RESPONSE","inflammatory","Control",6,0.0857872950920758,0.186376664975617,0.110655131945692,-0.257761076165268,0.268647522421287,186,201,92.5373134328358
"HALLMARK_INFLAMMATORY_RESPONSE","inflammatory","POCD",6,-0.0857872950920757,0.251306670355728,-0.158710788116896,-0.302974325260702,0.396790686174167,186,201,92.5373134328358
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","mitochondrial","Control",6,0.320212806441844,0.588814233556328,0.558028137843637,-0.670834490485799,0.922350774651733,181,199,90.9547738693467
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","mitochondrial","POCD",6,-0.320212806441844,0.675168799169968,-0.254247543130792,-1.36685736646184,0.643706493581305,181,199,90.9547738693467
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","inflammatory","Control",6,0.144462614807162,0.375944255995475,0.166160119858502,-0.421750241035522,0.579803870934893,187,199,93.9698492462311
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","inflammatory","POCD",6,-0.144462614807162,0.369347207973823,-0.174320789210286,-0.509845734328374,0.487538775177606,187,199,93.9698492462311
"KEGG_OXIDATIVE_PHOSPHORYLATION","mitochondrial","Control",6,0.32146784671964,0.604040099287477,0.461903526069745,-0.700342511419572,0.95509145460514,113,128,88.28125
"KEGG_OXIDATIVE_PHOSPHORYLATION","mitochondrial","POCD",6,-0.32146784671964,0.680996961251517,-0.262963013786263,-1.46540406138255,0.605142401156893,113,128,88.28125
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","Control",6,0.0313500330407776,0.492722227316359,0.0785275680271241,-0.803138261849794,0.66903268847859,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","POCD",6,-0.0313500330407775,0.496559726716603,-0.160011711324438,-0.415518401104597,0.873488458505666,22,23,95.6521739130435
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","Control",6,0.336796927254209,0.605739940752362,0.516356166681445,-0.638118955253741,1.04382034786522,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","POCD",6,-0.336796927254209,0.658959386395056,-0.271602394774528,-1.36537334300771,0.638062513227675,139,157,88.5350318471338
"RANDOM_CONTROL_200","negative_control","Control",6,0.0609147559640312,0.259959469393501,0.0689021715263366,-0.386701747232938,0.400220550916498,200,200,100
"RANDOM_CONTROL_200","negative_control","POCD",6,-0.0609147559640312,0.289799566687278,-0.0750285630491147,-0.479603969518367,0.39481131438926,200,200,100
