"module","missing_gene_symbol"
"HALLMARK_INFLAMMATORY_RESPONSE","ADRM1"
"HALLMARK_INFLAMMATORY_RESPONSE","CCL17"
"HALLMARK_INFLAMMATORY_RESPONSE","CMKLR1"
"HALLMARK_INFLAMMATORY_RESPONSE","CXCL11"
"HALLMARK_INFLAMMATORY_RESPONSE","EBI3"
"HALLMARK_INFLAMMATORY_RESPONSE","ICAM4"
"HALLMARK_INFLAMMATORY_RESPONSE","IL12B"
"HALLMARK_INFLAMMATORY_RESPONSE","IL1B"
"HALLMARK_INFLAMMATORY_RESPONSE","LCK"
"HALLMARK_INFLAMMATORY_RESPONSE","MARCO"
"HALLMARK_INFLAMMATORY_RESPONSE","MET"
"HALLMARK_INFLAMMATORY_RESPONSE","PTGER2"
"HALLMARK_INFLAMMATORY_RESPONSE","RAF1"
"HALLMARK_INFLAMMATORY_RESPONSE","SLC28A2"
"HALLMARK_INFLAMMATORY_RESPONSE","TNFRSF1B"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","BCL2A1A"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","BHLHE40"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","CCND1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","CSF2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","CXCL11"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","CXCL2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","FOSL1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","IL12B"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","IL1B"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","RIGI"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","TAP1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","TUBB2A"
"MICROGLIA_ACTIVATION_CUSTOM","IL1B"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","ACADVL"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","ATP5C1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","ATP5E"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","ATP5G2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","BCKDHA"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","COX5A"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","COX6C"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","COX7C"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","FH1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","MRPL11"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","MRPS22"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","NDUFB1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","NDUFC2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","NDUFS8"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","PHYH"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","RETSAT"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","SLC25A5"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","UQCRC2"
"KEGG_OXIDATIVE_PHOSPHORYLATION","ATP5C1"
"KEGG_OXIDATIVE_PHOSPHORYLATION","ATP5E"
"KEGG_OXIDATIVE_PHOSPHORYLATION","ATP5G2"
"KEGG_OXIDATIVE_PHOSPHORYLATION","ATP6V1C2"
"KEGG_OXIDATIVE_PHOSPHORYLATION","COX5A"
"KEGG_OXIDATIVE_PHOSPHORYLATION","COX6C"
"KEGG_OXIDATIVE_PHOSPHORYLATION","COX7C"
"KEGG_OXIDATIVE_PHOSPHORYLATION","COX8C"
"KEGG_OXIDATIVE_PHOSPHORYLATION","NDUFB1"
"KEGG_OXIDATIVE_PHOSPHORYLATION","NDUFC2"
"KEGG_OXIDATIVE_PHOSPHORYLATION","NDUFS8"
"KEGG_OXIDATIVE_PHOSPHORYLATION","UQCRC2"
"KEGG_OXIDATIVE_PHOSPHORYLATION","MT-ATP6"
"KEGG_OXIDATIVE_PHOSPHORYLATION","MT-CO1"
"KEGG_OXIDATIVE_PHOSPHORYLATION","MT-CO2"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","1190007I07RIK"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","COX20"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","COX5A"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","COX6C"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","COX7C"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","COX8C"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","HIGD1C"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","NDUFA12"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","NDUFB1"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","NDUFC2"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","NDUFS8"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","PET117"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","RAB5IF"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","SCO2"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","SFXN4"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","UQCRC2"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","MT-CO1"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","MT-CO2"
