file,column
GSE95426_module_pocd_vs_control_results.csv,module
GSE95426_module_pocd_vs_control_results.csv,module_class
GSE95426_module_pocd_vs_control_results.csv,n_control
GSE95426_module_pocd_vs_control_results.csv,n_pocd_or_surgery
GSE95426_module_pocd_vs_control_results.csv,mean_control
GSE95426_module_pocd_vs_control_results.csv,mean_pocd_or_surgery
GSE95426_module_pocd_vs_control_results.csv,delta_pocd_vs_ctrl
GSE95426_module_pocd_vs_control_results.csv,cohens_d
GSE95426_module_pocd_vs_control_results.csv,effect_size_category
GSE95426_module_pocd_vs_control_results.csv,direction
GSE95426_module_pocd_vs_control_results.csv,descriptive_ttest_p
GSE95426_module_pocd_vs_control_results.csv,detected_genes
GSE95426_module_pocd_vs_control_results.csv,total_module_genes
GSE95426_module_pocd_vs_control_results.csv,coverage_pct
GSE95426_module_pocd_vs_control_results.csv,caveat
GSE95426_script11_5_module_interpretation_flags.csv,module
GSE95426_script11_5_module_interpretation_flags.csv,module_class
GSE95426_script11_5_module_interpretation_flags.csv,cohens_d
GSE95426_script11_5_module_interpretation_flags.csv,abs_cohens_d
GSE95426_script11_5_module_interpretation_flags.csv,direction
GSE95426_script11_5_module_interpretation_flags.csv,empirical_abs_percentile_vs_random
GSE95426_script11_5_module_interpretation_flags.csv,same_direction_extremeness_vs_random
GSE95426_script11_5_module_interpretation_flags.csv,stronger_than_random_median
GSE95426_script11_5_module_interpretation_flags.csv,stronger_than_random_90th_percentile
GSE95426_script11_5_module_interpretation_flags.csv,stronger_than_random_max
GSE95426_script11_5_module_interpretation_flags.csv,expected_direction
GSE95426_script11_5_module_interpretation_flags.csv,direction_matches_expected
GSE95426_script11_5_module_interpretation_flags.csv,random_controls_directionally_biased
GSE95426_script11_5_module_interpretation_flags.csv,random_bias_direction
GSE95426_script11_5_module_interpretation_flags.csv,interpretation_flag
GSE115440_module_surgery_vs_control_results.csv,module
GSE115440_module_surgery_vs_control_results.csv,module_class
GSE115440_module_surgery_vs_control_results.csv,module_size
GSE115440_module_surgery_vs_control_results.csv,detected
GSE115440_module_surgery_vs_control_results.csv,mean_control
GSE115440_module_surgery_vs_control_results.csv,mean_surgery
GSE115440_module_surgery_vs_control_results.csv,delta_surgery_vs_ctrl
GSE115440_module_surgery_vs_control_results.csv,cohens_d
GSE115440_module_surgery_vs_control_results.csv,welch_t_pvalue
GSE115440_module_surgery_vs_control_results.csv,bh_qvalue
GSE115440_module_surgery_vs_control_results.csv,direction
GSE115440_module_surgery_vs_control_results.csv,mean_rescue
GSE115440_module_surgery_vs_control_results.csv,delta_rescue_vs_surg
GSE115440_module_surgery_vs_control_results.csv,rescue_consistency
